lines,highlight,time
1,TRUE,0.5
1,TRUE,1
1,TRUE,2.52
1,TRUE,2.9
1,TRUE,6.5
1,TRUE,3
1,TRUE,14
1,TRUE,4.5
1,TRUE,7.71
1,TRUE,0.5
1,TRUE,1.3
1,TRUE,2
1,TRUE,2.2
1,TRUE,1.28
1,TRUE,3
1,TRUE,2
1,TRUE,4.73
1,TRUE,3.43
1,TRUE,3
4,FALSE,41
4,FALSE,48
4,FALSE,21.37
4,FALSE,25.2
4,FALSE,46.7
4,FALSE,21
4,FALSE,55
4,FALSE,11
4,FALSE,25.26
4,FALSE,75
4,FALSE,40
4,FALSE,41
4,FALSE,26.14
4,FALSE,15.13
4,FALSE,44
4,FALSE,41
4,FALSE,36.47
4,FALSE,60
4,FALSE,22
2,FALSE,17
2,FALSE,15
2,FALSE,10.19
2,FALSE,21.2
2,FALSE,37.9
2,FALSE,16
2,FALSE,28
2,FALSE,80
2,FALSE,13.65
2,FALSE,40
2,FALSE,18.4
2,FALSE,136
2,FALSE,21.13
2,FALSE,35.08
2,FALSE,18
2,FALSE,16
2,FALSE,17.25
2,FALSE,23
2,FALSE,33
3,FALSE,13
3,FALSE,13
3,FALSE,14.38
3,FALSE,21.2
3,FALSE,54.3
3,FALSE,12
3,FALSE,15
3,FALSE,7
3,FALSE,26.43
3,FALSE,12
3,FALSE,18
3,FALSE,26
3,FALSE,12.96
3,FALSE,12.29
3,FALSE,9
3,FALSE,42
3,FALSE,17.05
3,FALSE,94
3,FALSE,16
4,TRUE,1
4,TRUE,1
4,TRUE,2.7
4,TRUE,4.7
4,TRUE,22.3
4,TRUE,2
4,TRUE,4
4,TRUE,3
4,TRUE,4.33
4,TRUE,0.5
4,TRUE,1
4,TRUE,2
4,TRUE,1.16
4,TRUE,1.3
4,TRUE,2
4,TRUE,1
4,TRUE,5.08
4,TRUE,2.46
4,TRUE,2
1,FALSE,8
1,FALSE,5
1,FALSE,7.03
1,FALSE,8.9
1,FALSE,16.9
1,FALSE,6
1,FALSE,16
1,FALSE,5
1,FALSE,6.46
1,FALSE,7
1,FALSE,6
1,FALSE,3
1,FALSE,5.06
1,FALSE,7.23
1,FALSE,6
1,FALSE,3
1,FALSE,5.25
1,FALSE,5.97
1,FALSE,4
2,TRUE,1
2,TRUE,1
2,TRUE,2.84
2,TRUE,4.2
2,TRUE,4.7
2,TRUE,2
2,TRUE,2
2,TRUE,1
2,TRUE,1.45
2,TRUE,0.5
2,TRUE,1
2,TRUE,2
2,TRUE,0.86
2,TRUE,1.32
2,TRUE,1
2,TRUE,1
2,TRUE,2.36
2,TRUE,1.84
2,TRUE,1
3,TRUE,0.8
3,TRUE,1
3,TRUE,2.24
3,TRUE,3.9
3,TRUE,13.8
3,TRUE,2
3,TRUE,3
3,TRUE,1
3,TRUE,1.46
3,TRUE,0.5
3,TRUE,1
3,TRUE,2
3,TRUE,1.36
3,TRUE,1.23
3,TRUE,2
3,TRUE,1
3,TRUE,2.76
3,TRUE,1.97
3,TRUE,1
